test group,Box no.,sensor no.,microcosm number,BODprep_ bottle_no,Sample No ,site,collection date,original DOC (mg/l) ,resuspended DOC reading date,resuspended NPOC (mg/l),TN,shimadzu microcosm reading date (pre-run),pre-run microcosm DOC (mg/l),microcosm measure period (days),microcosm measure start date,shimadzu microcosm reading date (post-run),post-run microcosm DOC (mg/l) ,STATUS,notes
2,1,1,10,10,282,fc_1_rw2,5/17/22,9.07,6/27/24,15.94,0.44,7/9/24,3.54,7,7/8/24,7/15/24,3.973,ZDONE,
2,1,2,13,22,339,dh_n2_rw1,6/8/22,2.075,7/1/24,4.48,0.38,7/9/24,3.814,7,7/8/24,7/15/24,3.765,ZDONE,
2,1,3,17,18,305,dh_1_lw1,5/31/22,8.93,6/27/24,4.95,0.16,7/9/24,3.98,7,7/8/24,7/15/24,3.91,ZDONE,
2,1,4,16,3,352,fc_2_lw2,6/20/22,4.623,7/1/24,7.97,0.44,7/9/24,4.03,7,7/8/24,7/15/24,3.845,ZDONE,
2,2,1,4,12,358,fc_3_lw1,6/20/22,4.007,7/1/24,6.09,,7/9/24,4.06,7,7/8/24,7/15/24,3.973,ZDONE,
2,2,2,26,11,360,fc_2_stream,6/20/22,3.822,7/1/24,4.22,0.1,7/9/24,2.43,7,7/8/24,7/15/24,0.42,ZDONE,
2,2,3,6,na,H2OG2,H2O,H2O,NA,NA,NA,NA,7/9/24,0,7,7/8/24,7/15/24,0,ZDONE,
2,2,4,25,15,354,fc_3_rw3,6/20/22,5.266,6/27/24,7.22,0.37,7/9/24,3.93,7,7/8/24,7/15/24,4.084,ZDONE,
2,3,1,19,17,304dummy,fc_1_lw2dummy,5/30/22,2.89,6/27/24,15.01,0.37,7/9/24,3.98,7,7/8/24,7/15/24,3.982,ZDONE,
2,3,2,3,21,302,fc_1_rw1,5/30/22,2.62,6/27/24,5.4,0.22,7/9/24,3.6,7,7/8/24,7/15/24,3.633,ZDONE,
2,3,3,18,9,303,fc_1_stream,5/30/22,4.97,6/27/24,9.24,0.26,7/9/24,4.1,7,7/8/24,7/15/24,4.128,ZDONE,
2,3,4,9,34,innG2,1/2 innoculate no. 2 + WATER,5/1/24,NA,NA,NA,NA,7/9/24,2.26,7,7/8/24,7/15/24,2.384,ZDONE,
