"sample_no","daily_rate_of_change_Ox","mean_Oxygen","site","pre_run.DOC.mg_L","original.DOC.mg_L","change_DOC","total.run.days","daily_DOC_loss","watershed","type","predicted_daily_rate","ID"
"274",-0.125968161785404,8.20733004926108,"SSFP_f3_1",20.29,"16.24",0.439999999999998,6.88194444444444,0.06393541876892,"SSFP","sample",-0.119460538356006,274
"278",-0.197264687920668,7.88825660792951,"lx_1_rw1",4.14,"4.69",0.22,6.88888888888889,0.0319354838709677,"lx","sample",-0.0923137279141414,278
"281",-0.0700321033263248,8.20977713736792,"fc_1_stream",4.017,"6.46",0.307,7.84027777777778,0.0391567759078831,"fc","sample",-0.0984398355670677,281
"283",-0.152412362906379,8.02425331858407,"fc_1_rw1",3.74,"3.15",0.21,6.88888888888889,0.030483870967742,"fc","sample",-0.0910822672738463,283
"284",-0.107577492555951,8.01521245828699,"fc_1_lw1",3.93,"3.51",0.0300000000000002,6.88888888888889,0.00435483870967746,"fc","sample",-0.0689159757485335,284
"285",-0.123719681861583,8.02077979274611,"dh_1_lw1",4.38,"3.72",0.25,5.86805555555556,0.042603550295858,"dh","sample",-0.101363870607908,285
"286",-0.0838245577837961,8.19809941520468,"dh_1_stream",4.2,"4.47",0.19,6.88888888888889,0.0275806451612904,"dh","sample",-0.088619345993256,286
"298",-0.0655415287035152,7.86235525634386,"lx_1_stream",3.67,"2.29",0.28,14.8958333333333,0.0187972027972028,"lx","sample",-0.0811680044313022,298
"300",-0.0687403991179024,8.23504312938817,"fc_1_lw2",3.607,"2.79",0.177,7.84027777777778,0.0225757307351639,"fc","sample",-0.0843734791301799,300
"301",-0.0752363877514903,8.17108960915157,"fc_1_rw2",4.546,"7.12",0.246,7.84027777777778,0.031376439326838,"fc","sample",-0.0918394683159127,301
"302",-0.098267492969458,8.12797483588622,"fc_1_rw1",3.6,"2.62",-0.0329999999999999,6.84027777777778,-0.00482436548223349,"fc","sample",-0.0611288937747848,302
"303",-0.0321408393737732,8.25614252336449,"fc_1_stream",4.1,"4.97",-0.0280000000000005,6.84027777777778,-0.00409340101522849,"fc","sample",-0.0617489998434004,303
"304dummy",-0.0102313519641364,8.34456455142232,"fc_1_lw2dummy",3.98,"2.89",-0.00200000000000022,6.84027777777778,-0.000292385786802063,"fc","dummy",-0.0649735514002017,304
"305",-0.0786515294398894,8.09998083832335,"dh_1_lw1",3.98,"8.93",0.0699999999999998,6.84027777777778,0.010233502538071,"dh","sample",-0.0739030787882668,305
"307",-0.12512003752336,8.18794415584416,"dh_1_rw2",4.04,"2.4",0.21,5.86805555555556,0.0357869822485207,"dh","sample",-0.0955811063230666,307
"310dummi",0.099399895953666,8.88359046137895,"lx_1_lw2",1.87,"15.59",0.35,14.8888888888889,0.0235074626865672,"lx","dummy",-0.0851639041966069,310
"312",-0.104265388600418,8.00125584255843,"lx_1_stream",3.53,"2.4",0.0699999999999998,6.88194444444444,0.0101715438950555,"lx","sample",-0.0738505168207959,312
"315",-0.0544810907956715,8.26829130850048,"fc_1_rw1",4.188,"4.78",0.368,7.84027777777778,0.0469371124889282,"fc","sample",-0.105040202818223,315
"317",-0.0585810310922004,8.21118106570098,"fc_1_lw2",3.34,"5.04",0.32,14.8888888888889,0.0214925373134328,"fc","sample",-0.083454563307839,317
