TIMESTAMP,Q (cfs)
10/1/17 0:00,0.353
10/1/17 0:10,0.356
10/1/17 0:20,0.358
10/1/17 0:30,0.365
10/1/17 0:40,0.368
10/1/17 0:50,0.372
10/1/17 1:00,0.377
10/1/17 1:10,0.380
10/1/17 1:20,0.380
10/1/17 1:30,0.382
10/1/17 1:40,0.387
10/1/17 1:50,0.392
10/1/17 2:00,0.394
10/1/17 2:10,0.394
10/1/17 2:20,0.399
10/1/17 2:30,0.404
10/1/17 2:40,0.409
10/1/17 2:50,0.414
10/1/17 3:00,0.420
10/1/17 3:10,0.425
10/1/17 3:20,0.427
10/1/17 3:30,0.430
10/1/17 3:40,0.433
10/1/17 3:50,0.435
10/1/17 4:00,0.438
10/1/17 4:10,0.438
10/1/17 4:20,0.438
10/1/17 4:30,0.438
10/1/17 4:40,0.435
10/1/17 4:50,0.433
10/1/17 5:00,0.433
10/1/17 5:10,0.430
10/1/17 5:20,0.427
10/1/17 5:30,0.425
10/1/17 5:40,0.422
10/1/17 5:50,0.420
10/1/17 6:00,0.420
10/1/17 6:10,0.414
10/1/17 6:20,0.412
10/1/17 6:30,0.409
10/1/17 6:40,0.407
10/1/17 6:50,0.402
10/1/17 7:00,0.399
10/1/17 7:10,0.397
10/1/17 7:20,0.394
10/1/17 7:30,0.397
10/1/17 7:40,0.394
10/1/17 7:50,0.394
10/1/17 8:00,0.392
10/1/17 8:10,0.392
10/1/17 8:20,0.392
10/1/17 8:30,0.394
10/1/17 8:40,0.394
10/1/17 8:50,0.397
10/1/17 9:00,0.399
10/1/17 9:10,0.399
10/1/17 9:20,0.402
10/1/17 9:30,0.404
10/1/17 9:40,0.409
10/1/17 9:50,0.414
10/1/17 10:00,0.420
10/1/17 10:10,0.427
10/1/17 10:20,0.433
10/1/17 10:30,0.440
10/1/17 10:40,0.446
10/1/17 10:50,0.457
10/1/17 11:00,0.465
10/1/17 11:10,0.476
10/1/17 11:20,0.490
10/1/17 11:30,0.501
10/1/17 11:40,0.516
10/1/17 11:50,0.530
10/1/17 12:00,0.542
10/1/17 12:10,0.554
10/1/17 12:20,0.566
10/1/17 12:30,0.576
10/1/17 12:40,0.579
10/1/17 12:50,0.585
10/1/17 13:00,0.594
10/1/17 13:10,0.604
10/1/17 13:20,0.607
10/1/17 13:30,0.604
10/1/17 13:40,0.607
10/1/17 13:50,0.607
10/1/17 14:00,0.610
10/1/17 14:10,0.614
10/1/17 14:20,0.620
10/1/17 14:30,0.627
10/1/17 14:40,0.633
10/1/17 14:50,0.636
10/1/17 15:00,0.640
10/1/17 15:10,0.643
10/1/17 15:20,0.643
10/1/17 15:30,0.640
10/1/17 15:40,0.633
10/1/17 15:50,0.627
10/1/17 16:00,0.620
10/1/17 16:10,0.610
10/1/17 16:20,0.601
10/1/17 16:30,0.594
10/1/17 16:40,0.588
10/1/17 16:50,0.579
10/1/17 17:00,0.573
10/1/17 17:10,0.566
10/1/17 17:20,0.563
10/1/17 17:30,0.560
10/1/17 17:40,0.554
10/1/17 17:50,0.545
10/1/17 18:00,0.539
10/1/17 18:10,0.536
10/1/17 18:20,0.536
10/1/17 18:30,0.536
10/1/17 18:40,0.539
10/1/17 18:50,0.539
10/1/17 19:00,0.542
10/1/17 19:10,0.548
10/1/17 19:20,0.548
10/1/17 19:30,0.548
10/1/17 19:40,0.545
10/1/17 19:50,0.542
10/1/17 20:00,0.539
10/1/17 20:10,0.533
10/1/17 20:20,0.530
10/1/17 20:30,0.524
10/1/17 20:40,0.521
10/1/17 20:50,0.518
10/1/17 21:00,0.513
10/1/17 21:10,0.507
10/1/17 21:20,0.498
10/1/17 21:30,0.490
10/1/17 21:40,0.484
10/1/17 21:50,0.479
10/1/17 22:00,0.476
10/1/17 22:10,0.470
10/1/17 22:20,0.467
10/1/17 22:30,0.465
10/1/17 22:40,0.467
10/1/17 22:50,0.470
10/1/17 23:00,0.470
10/1/17 23:10,0.470
10/1/17 23:20,0.470
10/1/17 23:30,0.470
10/1/17 23:40,0.467
10/1/17 23:50,0.465
10/2/17 0:00,0.462
10/2/17 0:10,0.465
10/2/17 0:20,0.467
10/2/17 0:30,0.467
10/2/17 0:40,0.467
10/2/17 0:50,0.470
10/2/17 1:00,0.462
10/2/17 1:10,0.462
10/2/17 1:20,0.462
10/2/17 1:30,0.459
10/2/17 1:40,0.457
10/2/17 1:50,0.454
10/2/17 2:00,0.451
10/2/17 2:10,0.448
10/2/17 2:20,0.443
10/2/17 2:30,0.435
10/2/17 2:40,0.430
10/2/17 2:50,0.425
10/2/17 3:00,0.427
10/2/17 3:10,0.427
10/2/17 3:20,0.430
10/2/17 3:30,0.427
10/2/17 3:40,0.425
10/2/17 3:50,0.425
10/2/17 4:00,0.425
10/2/17 4:10,0.425
10/2/17 4:20,0.427
10/2/17 4:30,0.425
10/2/17 4:40,0.427
10/2/17 4:50,0.433
10/2/17 5:00,0.433
10/2/17 5:10,0.422
10/2/17 5:20,0.409
10/2/17 5:30,0.422
10/2/17 5:40,0.433
10/2/17 5:50,0.430
10/2/17 6:00,0.422
10/2/17 6:10,0.414
10/2/17 6:20,0.412
10/2/17 6:30,0.409
10/2/17 6:40,0.407
10/2/17 6:50,0.404
10/2/17 7:00,0.399
10/2/17 7:10,0.392
10/2/17 7:20,0.407
10/2/17 7:30,0.409
10/2/17 7:40,0.404
10/2/17 7:50,0.404
10/2/17 8:00,0.402
10/2/17 8:10,0.397
10/2/17 8:20,0.389
10/2/17 8:30,0.394
10/2/17 8:40,0.397
10/2/17 8:50,0.392
10/2/17 9:00,0.382
10/2/17 9:10,0.389
10/2/17 9:20,0.397
10/2/17 9:30,0.397
10/2/17 9:40,0.402
10/2/17 9:50,0.422
10/2/17 10:00,0.433
10/2/17 10:10,0.433
10/2/17 10:20,0.427
10/2/17 10:30,0.425
10/2/17 10:40,0.427
10/2/17 10:50,0.427
10/2/17 11:00,0.425
10/2/17 11:10,0.420
10/2/17 11:20,0.414
10/2/17 11:30,0.409
10/2/17 11:40,0.407
10/2/17 11:50,0.399
10/2/17 12:00,0.399
10/2/17 12:10,0.399
10/2/17 12:20,0.399
10/2/17 12:30,0.402
10/2/17 12:40,0.399
10/2/17 12:50,0.397
10/2/17 13:00,0.397
10/2/17 13:10,0.397
10/2/17 13:20,0.397
10/2/17 13:30,0.397
10/2/17 13:40,0.399
10/2/17 13:50,0.402
10/2/17 14:00,0.402
10/2/17 14:10,0.402
10/2/17 14:20,0.399
10/2/17 14:30,0.397
10/2/17 14:40,0.397
10/2/17 14:50,0.394
10/2/17 15:00,0.394
10/2/17 15:10,0.392
10/2/17 15:20,0.392
10/2/17 15:30,0.392
10/2/17 15:40,0.392
10/2/17 15:50,0.392
10/2/17 16:00,0.389
10/2/17 16:10,0.389
10/2/17 16:20,0.389
10/2/17 16:30,0.402
10/2/17 16:40,0.389
10/2/17 16:50,0.384
10/2/17 17:00,0.384
10/2/17 17:10,0.382
10/2/17 17:20,0.382
10/2/17 17:30,0.382
10/2/17 17:40,0.382
10/2/17 17:50,0.380
10/2/17 18:00,0.380
10/2/17 18:10,0.380
10/2/17 18:20,0.380
10/2/17 18:30,0.380
10/2/17 18:40,0.382
10/2/17 18:50,0.382
10/2/17 19:00,0.382
10/2/17 19:10,0.382
10/2/17 19:20,0.384
10/2/17 19:30,0.384
10/2/17 19:40,0.384
10/2/17 19:50,0.382
10/2/17 20:00,0.382
10/2/17 20:10,0.382
10/2/17 20:20,0.382
10/2/17 20:30,0.380
10/2/17 20:40,0.380
10/2/17 20:50,0.380
10/2/17 21:00,0.380
10/2/17 21:10,0.380
10/2/17 21:20,0.380
10/2/17 21:30,0.375
10/2/17 21:40,0.375
10/2/17 21:50,0.372
10/2/17 22:00,0.372
10/2/17 22:10,0.372
10/2/17 22:20,0.370
10/2/17 22:30,0.370
10/2/17 22:40,0.368
10/2/17 22:50,0.368
10/2/17 23:00,0.368
10/2/17 23:10,0.365
10/2/17 23:20,0.363
10/2/17 23:30,0.363
10/2/17 23:40,0.360
10/2/17 23:50,0.360
10/3/17 0:00,0.360
10/3/17 0:10,0.358
10/3/17 0:20,0.358
10/3/17 0:30,0.358
10/3/17 0:40,0.358
10/3/17 0:50,0.356
10/3/17 1:00,0.356
10/3/17 1:10,0.356
10/3/17 1:20,0.353
10/3/17 1:30,0.353
10/3/17 1:40,0.353
10/3/17 1:50,0.353
10/3/17 2:00,0.353
10/3/17 2:10,0.351
10/3/17 2:20,0.351
10/3/17 2:30,0.351
10/3/17 2:40,0.351
10/3/17 2:50,0.351
10/3/17 3:00,0.349
10/3/17 3:10,0.349
10/3/17 3:20,0.349
10/3/17 3:30,0.349
10/3/17 3:40,0.349
10/3/17 3:50,0.349
10/3/17 4:00,0.349
10/3/17 4:10,0.346
10/3/17 4:20,0.346
10/3/17 4:30,0.346
10/3/17 4:40,0.346
10/3/17 4:50,0.346
10/3/17 5:00,0.346
10/3/17 5:10,0.346
10/3/17 5:20,0.346
10/3/17 5:30,0.344
10/3/17 5:40,0.344
10/3/17 5:50,0.342
10/3/17 6:00,0.342
10/3/17 6:10,0.342
10/3/17 6:20,0.342
10/3/17 6:30,0.342
10/3/17 6:40,0.342
10/3/17 6:50,0.342
10/3/17 7:00,0.342
10/3/17 7:10,0.342
10/3/17 7:20,0.342
10/3/17 7:30,0.342
10/3/17 7:40,0.340
10/3/17 7:50,0.340
10/3/17 8:00,0.340
10/3/17 8:10,0.340
10/3/17 8:20,0.340
10/3/17 8:30,0.340
10/3/17 8:40,0.340
10/3/17 8:50,0.340
10/3/17 9:00,0.340
10/3/17 9:10,0.340
10/3/17 9:20,0.340
10/3/17 9:30,0.340
10/3/17 9:40,0.340
10/3/17 9:50,0.340
10/3/17 10:00,0.340
10/3/17 10:10,0.340
10/3/17 10:20,0.340
10/3/17 10:30,0.342
10/3/17 10:40,0.342
10/3/17 10:50,0.342
10/3/17 11:00,0.342
10/3/17 11:10,0.344
10/3/17 11:20,0.346
10/3/17 11:30,0.349
10/3/17 11:40,0.351
10/3/17 11:50,0.353
10/3/17 12:00,0.356
10/3/17 12:10,0.358
10/3/17 12:20,0.360
10/3/17 12:30,0.365
10/3/17 12:40,0.368
10/3/17 12:50,0.372
10/3/17 13:00,0.375
10/3/17 13:10,0.380
10/3/17 13:20,0.382
10/3/17 13:30,0.387
10/3/17 13:40,0.392
10/3/17 13:50,0.392
10/3/17 14:00,0.397
10/3/17 14:10,0.399
10/3/17 14:20,0.402
10/3/17 14:30,0.407
10/3/17 14:40,0.412
10/3/17 14:50,0.420
10/3/17 15:00,0.422
10/3/17 15:10,0.427
10/3/17 15:20,0.433
10/3/17 15:30,0.435
10/3/17 15:40,0.440
10/3/17 15:50,0.443
10/3/17 16:00,0.446
10/3/17 16:10,0.448
10/3/17 16:20,0.451
10/3/17 16:30,0.454
10/3/17 16:40,0.457
10/3/17 16:50,0.459
10/3/17 17:00,0.462
10/3/17 17:10,0.462
10/3/17 17:20,0.462
10/3/17 17:30,0.465
10/3/17 17:40,0.465
10/3/17 17:50,0.467
10/3/17 18:00,0.467
10/3/17 18:10,0.467
10/3/17 18:20,0.467
10/3/17 18:30,0.465
10/3/17 18:40,0.465
10/3/17 18:50,0.465
10/3/17 19:00,0.465
10/3/17 19:10,0.465
10/3/17 19:20,0.465
10/3/17 19:30,0.462
10/3/17 19:40,0.462
10/3/17 19:50,0.462
10/3/17 20:00,0.459
10/3/17 20:10,0.459
10/3/17 20:20,0.457
10/3/17 20:30,0.454
10/3/17 20:40,0.454
10/3/17 20:50,0.454
10/3/17 21:00,0.451
10/3/17 21:10,0.451
10/3/17 21:20,0.448
10/3/17 21:30,0.448
10/3/17 21:40,0.446
10/3/17 21:50,0.443
10/3/17 22:00,0.443
10/3/17 22:10,0.440
10/3/17 22:20,0.438
10/3/17 22:30,0.438
10/3/17 22:40,0.435
10/3/17 22:50,0.435
10/3/17 23:00,0.433
10/3/17 23:10,0.430
10/3/17 23:20,0.430
10/3/17 23:30,0.427
10/3/17 23:40,0.427
10/3/17 23:50,0.425
10/4/17 0:00,0.422
10/4/17 0:10,0.422
10/4/17 0:20,0.420
10/4/17 0:30,0.420
10/4/17 0:40,0.417
10/4/17 0:50,0.417
10/4/17 1:00,0.414
10/4/17 1:10,0.414
10/4/17 1:20,0.412
10/4/17 1:30,0.409
10/4/17 1:40,0.409
10/4/17 1:50,0.409
10/4/17 2:00,0.407
10/4/17 2:10,0.407
10/4/17 2:20,0.404
10/4/17 2:30,0.404
10/4/17 2:40,0.404
10/4/17 2:50,0.402
10/4/17 3:00,0.399
10/4/17 3:10,0.399
10/4/17 3:20,0.399
10/4/17 3:30,0.397
10/4/17 3:40,0.397
10/4/17 3:50,0.397
10/4/17 4:00,0.394
10/4/17 4:10,0.394
10/4/17 4:20,0.394
10/4/17 4:30,0.392
10/4/17 4:40,0.392
10/4/17 4:50,0.389
10/4/17 5:00,0.389
10/4/17 5:10,0.389
10/4/17 5:20,0.387
10/4/17 5:30,0.387
10/4/17 5:40,0.387
10/4/17 5:50,0.384
10/4/17 6:00,0.384
10/4/17 6:10,0.384
10/4/17 6:20,0.384
10/4/17 6:30,0.384
10/4/17 6:40,0.382
10/4/17 6:50,0.382
10/4/17 7:00,0.380
10/4/17 7:10,0.380
10/4/17 7:20,0.380
10/4/17 7:30,0.380
10/4/17 7:40,0.377
10/4/17 7:50,0.377
10/4/17 8:00,0.377
10/4/17 8:10,0.377
10/4/17 8:20,0.377
10/4/17 8:30,0.375
10/4/17 8:40,0.375
10/4/17 8:50,0.375
10/4/17 9:00,0.375
10/4/17 9:10,0.375
10/4/17 9:20,0.375
10/4/17 9:30,0.375
10/4/17 9:40,0.375
10/4/17 9:50,0.372
10/4/17 10:00,0.372
10/4/17 10:10,0.372
10/4/17 10:20,0.372
10/4/17 10:30,0.375
10/4/17 10:40,0.375
10/4/17 10:50,0.375
10/4/17 11:00,0.375
10/4/17 11:10,0.375
10/4/17 11:20,0.377
10/4/17 11:30,0.380
10/4/17 11:40,0.380
10/4/17 11:50,0.382
10/4/17 12:00,0.382
10/4/17 12:10,0.384
10/4/17 12:20,0.387
10/4/17 12:30,0.389
10/4/17 12:40,0.392
10/4/17 12:50,0.394
10/4/17 13:00,0.397
10/4/17 13:10,0.399
10/4/17 13:20,0.404
10/4/17 13:30,0.407
10/4/17 13:40,0.409
10/4/17 13:50,0.412
10/4/17 14:00,0.417
10/4/17 14:10,0.420
10/4/17 14:20,0.425
10/4/17 14:30,0.427
10/4/17 14:40,0.433
