ID,watershed,reach,position,DATE,doc_mg.l,TYPE,Time,tdn_mg.l,na_mg.l,nh4_mg.l,K_mg.l,Mg_mg.l,Ca_mg.l,F_mg.l,Cl_mg.l,NO3_mg.l,PO4_mg.l,SO4_mg.l
20,SSFP,SSFP WELL C1.1,C1.1,5/20/21,4.48,monitoring,,0.24,,,,,,,,,,
22,SSFP,SSFP WELL C1.5,C1.5,5/20/21,12.02,monitoring,,0.31,,,,,,,,,,
19,SSFP,SSFP WELL C2.1,C2.1,5/20/21,6.66,monitoring,,0.31,,,,,,,,,,
18,SSFP,SSFP WELL C3.1,C3.1,5/20/21,6.56,monitoring,,0.45,,,,,,,,,,
12,SSFP,SSFP WELL F1.1,F1.1,5/20/21,10.85,monitoring,,0.47,,,,,,,,,,
13,SSFP,SSFP WELL F2.1,F2.1,5/20/21,21.4,monitoring,,0.56,,0.06,0.69,0.76,2.7,0.07,,0.1,0,2.06
15,SSFP,SSFP WELL F2.3,F2.3,5/20/21,23.36,monitoring,,0.91,,,,,,,,,,
14,SSFP,SSFP WELL F3.1,F3.1,5/20/21,23.68,monitoring,,0.6,2.12,0.02,0.66,0.54,2.15,0.01,0.79,0.09,0,1.65
9,SSFP,SSFP WELL F3.5,F3.5,5/19/21,24.24,monitoring,,0.86,,,,,,,,,,
33,Lexen,Lexen1,lw1,6/2/21,1.33,monitoring,920,0.11,,,,,,,,,,
37,DH,DH1,lw1,6/2/21,1.74,monitoring,1522,0.31,,,,,,,,,,
45,FC,FC1,lw1,6/2/21,4.15,monitoring,1754,0.25,,,,,,,,,,
75,FC,FC4,lw1,6/23/21,3.66,synoptic,1620,0.22,2.22,0.02,0.68,0.97,3.83,0.02,0.23,0.07,0,1.87
86,DH,DHS1,lw1,7/1/21,0.7,synoptic,1147,0.07,1.35,0.03,0.87,2.79,18.54,0.03,0.15,0.08,0,1.64
90,DH,DH1,lw1,7/15/21,0.9,monitoring,815,0.08,1.94,0.03,1.27,1.92,17.9,0.01,0.29,0.12,0,3.38
94,Lexen,Lexen1,lw1,7/15/21,0.83,monitoring,956,0.13,1.78,0.05,0.66,1.69,12.61,0,0.26,0.05,0,1.87
145,DH,DHS2,lw1,8/5/21,7.82,monitoring,1150,0.07,1.67,0.04,1,2.64,19.74,0.02,0.19,0.1,0,1.43
149,FC,FC1,lw1,8/18/21,1.94,monitoring,1522,0.15,3.18,0.02,1.37,1.56,5.52,0.09,0.25,0.06,0,2.16
153,DH,DH1,lw1,8/18/21,1.04,monitoring,1635,0.13,2.49,0.03,1.66,2.83,19.68,0.02,0.3,0.1,0,2.76
156,Lexen,Lexen1,lw1,8/18/21,1.02,monitoring,1740,0.14,1.87,0.03,0.69,1.72,12.81,0.01,0.26,0.08,0,1.71
161,DH,DH1,lw1,9/2/21,1.43,monitoring,957,0.11,2.12,0.02,1.68,2.61,20.56,0.02,0.32,0.09,0,3.01
164,Lexen,Lexen1,lw1,9/2/21,1,monitoring,1113,0.09,1.91,0.01,0.74,2.84,14.01,0.01,0.27,0.03,0,2.54
170,FC,FC1,lw1,9/2/21,1.65,monitoring,1301,0.1,3.39,0.04,1.36,1.94,5.69,0.02,0.24,0.14,0,2.72
