"watershed","reach","position","ID","mean_well_depth_cm","lat","lon","elevation","doc_mg.l","TYPE","Time","doc_mg.l.1","tdn_mg.l","na_mg.l","nh4_mg.l","K_mg.l","Mg_mg.l","Ca_mg.l","F_mg.l","Cl_mg.l","NO3_mg.l","PO4_mg.l","SO4_mg.l","usfs_DOC","MSU_DOC","date","fullid","Int_Abs","dec_254","dec_300","dec_562","a300","a305","a313","a320","a340","a380","a395","a412","Slope_ratio","Int_Fluor","peak_A_250.450","peak_C_350.450","peak_T_275.340","Fluorescence_Index","SUVA254","peak_ratioAT","peak_ratioCA","peak_ratioCT","Filename","area_m","analysis","area_km","transect","Qm3_s","fraction","reachposition","count_1.5","count_6.10","count_11.15","count_.15","percent_1.5","percent_6.10","percent_11.15","percent_.15","site","year","ndmi_raster_mean","ndmi_raster_median","ndvi_raster_mean","ndvi_raster_median","twi_mean","twi_median","slope_mean","slope_median","elevabovestreams_mean","elevabovestreams_median","disttostreams_mean","disttostreams_median","aspect_mean","aspect_median","resampled_mean","resampled_median","distance.to.outlet","percent_Beetle.kill","percent_Meadows","percent_Old.Forest","percent_cut.regenerating","percent_Tundra","stage","stage_num","Input.mm","snowpack_3day_avg","melt_snow_interact"
"fc","fc1","lw2",46,118,39.89099398,-105.867792,NA,4.81,"monitoring","18:02",4.81,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81,NA,2021-06-02,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_lw2",9100,"dinf",0.0091,1,0.079935721,1,"FC1_lw2",90,156,21,1,33.58208955,58.20895522,7.835820896,0.373134328,"fc1",2021,0.058242083,0.057347238,0.202828914,0.20515871,5.295590878,5.261716366,14.86990452,14.88346004,62.89420094,64.41552734,281.6698891,288.7005769,30.15631845,27.69857868,3001.302734,3008.03125,0,47.61904762,0,38.0952381,14.28571429,0,"Ascending Limb",4,0,286.47,0
"fc","fc1","lw2",317,118,39.89099398,-105.867792,NA,5.04,"monitoring","15:05",5.04,NA,3.32,0.03,1.36,2.4,12.93,0.04,0.66,0.11,0,2.46,NA,5.04,2022-06-06,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_lw2",9100,"dinf",0.0091,1,0.083138219,1,"FC1_lw2",90,156,21,1,33.58208955,58.20895522,7.835820896,0.373134328,"fc1",2022,0.058242083,0.057347238,0.202828914,0.20515871,5.295590878,5.261716366,14.86990452,14.88346004,62.89420094,64.41552734,281.6698891,288.7005769,30.15631845,27.69857868,3001.302734,3008.03125,0,47.61904762,0,38.0952381,14.28571429,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","lw2",304,118,39.89099398,-105.867792,NA,2.89,"monitoring","16:35",2.89,NA,2.33,0.03,1.33,2.5,22.28,0.05,0.61,0.06,0,3.48,NA,2.89,2022-05-30,"FEF3040308i1h",1739,25.379,14.203,0,32.71,30.71,27.556,24.934,19.133,9.5481,7.2694,5.8187,0.69171+0i,166000,32.625,10.078,15.342,1.4418,8.7816609,2.126515448,0.308904215,0.656889584,"fc1_lw2",9100,"dinf",0.0091,1,0.056293862,1,"FC1_lw2",90,156,21,1,33.58208955,58.20895522,7.835820896,0.373134328,"fc1",2022,0.058242083,0.057347238,0.202828914,0.20515871,5.295590878,5.261716366,14.86990452,14.88346004,62.89420094,64.41552734,281.6698891,288.7005769,30.15631845,27.69857868,3001.302734,3008.03125,0,47.61904762,0,38.0952381,14.28571429,0,"Ascending Limb",4,0,281.34,0
"fc","fc2","lw2",319,117.5,39.88251602,-105.865449,NA,10.06,"monitoring","15:55",10.06,NA,2.23,0.01,0.66,0.88,4.63,0.09,0.56,0.09,0,1.05,NA,10.06,2022-06-06,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc2_lw2",136200,"dinf",0.1362,2,0.084978813,0.643694672,"FC2_lw2",4118,2767,270,12,57.45779266,38.60750663,3.767266639,0.167434073,"fc2",2022,0.10090984,0.10511939,0.22067304,0.219388247,7.003666878,7.04816246,11.37825584,11.02703476,58.41825197,47.44165039,306.4286027,262.1320344,121.8954958,31.28811971,3297.120361,3284.063965,582.1,17.67810026,0,40.89709763,41.42480211,0,"Ascending Limb",4,0,194.12,0
"fc","fc3","stream",52,NA,39.877421,-105.863328,NA,3.12,"monitoring","16:30",3.12,0.2,2.44,0.04,0.63,0.81,4.14,0.04,0.23,0.09,0,2.02,3.12,NA,2021-06-09,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc3_stream",949200,"dinf",0.9492,3,0.153732725,0.400367463,"FC3_stream",5698,4320,711,60,52.81305033,40.04078228,6.590045417,0.556121976,"fc3",2021,0.10651602,0.107687354,0.214764073,0.211163014,6.840259075,6.73014164,13.8741045,12.86094856,77.51624228,55.39111328,322.2694139,263.137085,221.2842009,313.6832216,3342.635254,3358.758545,910.22,58.5810163,7.094918504,12.08053691,22.24352828,0,"Ascending Limb",4,20.6430069332122,114.59,1641.68466958034
"fc","fc2","rw2",321,117,39.88260596,-105.86531,NA,1.926,"synoptic","16:15",1.926,NA,3.16,0.01,0.83,2.17,10.46,0.06,0.27,0.13,0,2.43,NA,1.926,2022-06-06,"FEF3210308i1h",281.18,4.4909,2.2598,0,5.2044,4.8091,4.2866,3.8338,2.9712,1.7623,1.4885,1.2434,1.1799+0i,224000,106.72,12.428,17.841,1.6217,2.33172378,5.981727482,0.116454273,0.696597724,"fc2_rw2",1390600,"dinf",1.3906,2,0.086394654,0.643694672,"FC2_rw2",9048,7567,1022,90,51.04078524,42.68629774,5.765216901,0.507700118,"fc2",2022,0.101696685,0.102861054,0.20975399,0.207049742,6.864738464,6.70546484,14.53550911,13.75000572,73.36017682,54.27868652,299.0693696,245.5634919,201.621328,305.4028175,3283.803711,3284.62085,582.1,45.56473829,4.297520661,24.4077135,25.73002755,0,"Ascending Limb",4,0,194.12,0
"fc","fc2","stream",51,NA,39.88261803,-105.865284,NA,3.11,"monitoring","16:06",3.11,0.19,2.12,0.03,0.62,0.9,4.14,0.05,0.22,0.08,0,2.27,3.11,NA,2021-06-09,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc2_stream",1390600,"dinf",1.3906,2,0.153732725,0.643694672,"FC2_stream",9048,7567,1022,90,51.04078524,42.68629774,5.765216901,0.507700118,"fc2",2021,0.101696685,0.102861054,0.20975399,0.207049742,6.864738464,6.70546484,14.53550911,13.75000572,73.36017682,54.27868652,299.0693696,245.5634919,201.621328,305.4028175,3283.803711,3284.62085,582.1,45.56473829,4.297520661,24.4077135,25.73002755,0,"Ascending Limb",4,20.6430069332122,114.59,1641.68466958034
"fc","fc2","stream",318,NA,39.88261803,-105.865284,NA,4.36,"monitoring","15:45",4.36,NA,2.24,0.03,0.8,1.2,7.06,0.04,0.21,0.07,0,1.67,NA,4.36,2022-06-06,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc2_stream",1390600,"dinf",1.3906,2,0.084752278,0.643694672,"FC2_stream",9048,7567,1022,90,51.04078524,42.68629774,5.765216901,0.507700118,"fc2",2022,0.101696685,0.102861054,0.20975399,0.207049742,6.864738464,6.70546484,14.53550911,13.75000572,73.36017682,54.27868652,299.0693696,245.5634919,201.621328,305.4028175,3283.803711,3284.62085,582.1,45.56473829,4.297520661,24.4077135,25.73002755,0,"Ascending Limb",4,0,194.12,0
"fc","fc2","rw1",320,115.5,39.88255701,-105.865356,NA,3.792,"monitoring","16:05",3.792,NA,3.11,0.01,0.84,2.06,10.08,0.06,0.32,0.15,0,1.64,NA,3.792,2022-06-06,"FEF3200210i1h",1097.5,15.746,9.0348,0,20.807,19.391,17.354,15.716,11.816,6.2511,4.9351,3.7863,0.84111+0i,275000,47.903,17.837,22.022,1.4375,4.15242616,2.175233857,0.372356637,0.809962765,"fc2_rw1",1577900,"dinf",1.5779,2,0.085686734,0.643694672,"FC2_rw1",9162,7626,1025,90,51.1757806,42.59621293,5.725297436,0.502709043,"fc2",2022,0.101472504,0.102625795,0.209705934,0.207036823,6.864338398,6.706087112,14.54436207,13.76067543,73.52547448,54.36193848,299.793544,245.5634919,200.0441623,304.7318943,3282.447998,3282.574707,582.1,45.5026455,4.17989418,24.76190476,25.55555556,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","rw2",256,118,39.89110898,-105.867754,NA,13.78,"monitoring","10:58",13.78,NA,2.66,0.04,1.16,1.5,8.43,0.07,1.54,0.03,0,2.26,NA,13.78,2022-05-09,"FEF256i1h",1196.1,18.713,10.124,0,23.315,21.542,19.118,17.197,12.761,6.8457,5.4632,4.3799,0.94953+0i,334000,66.311,20.637,29.376,1.4561,1.357982583,2.2573189,0.311215334,0.702512255,"fc1_rw2",8200,"dinf",0.0082,1,0.011524951,1,"FC1_rw2",13541,12745,1421,109,48.68061547,45.81895312,5.108570607,0.3918608,"fc1",2022,0.08994564,0.09260531,0.206539452,0.204045802,6.71660614,6.496210575,14.61667538,14.14783287,68.69373126,52.94848633,280.7242811,230,193.6976823,283.7517525,3202.89502,3194.797363,0,40.38150663,2.812803104,31.55512447,25.25056579,0,"Ascending Limb",4,1.2264385542552,513.94,613.529566081827
