,date,Pcumul.mm,SWE.mm,Snow.Depth.mm,Tair.C,mean_temp_C,wtr_yr,SWEdiff.mm,Pdiff.mm,Input.mm
1,10/1/20,0,0,0,0,6.1438,2021,0,0,0
2,10/2/20,0,0,0,0,6.8438,2021,0,0,0
3,10/3/20,0,0,0,0,5.925,2021,0,0,0
4,10/4/20,0,0,0,0,8.4375,2021,0,0,0
5,10/5/20,0,0,0,0,8.4813,2021,0,0,0
6,10/6/20,0,0,0,0,9.875,2021,0,0,0
7,10/7/20,0,0,0,0,10.6063,2021,0,0,0
8,10/8/20,0,0,0,0,10.0938,2021,0,0,0
9,10/9/20,0,0,0,0,10.2,2021,0,0,0
10,10/10/20,0,0,0,0,10.525,2021,0,0,0
11,10/11/20,0,0,0,0,1.675,2021,0,0,0
12,10/12/20,10.16,7.6962,76.2,0,2.425,2021,7.6962,10.16,0
13,10/13/20,10.16,2.5654,25.4,0,7.45,2021,-5.1308,0,5.1308
14,10/14/20,10.16,0,0,0,8.0313,2021,-2.5654,0,2.5654
15,10/15/20,10.16,0,0,0,-0.2625,2021,0,0,0
16,10/16/20,10.16,0,0,0,2.9313,2021,0,0,0
17,10/17/20,10.16,0,0,0,6.5125,2021,0,0,0
18,10/18/20,10.16,0,0,0,7.6438,2021,0,0,0
19,10/19/20,10.16,0,0,0,7.9875,2021,0,0,0
20,10/20/20,10.16,0,0,0,5.975,2021,0,0,0
21,10/21/20,10.16,0,0,0,7.4375,2021,0,0,0
22,10/22/20,10.16,0,0,0,3.2625,2021,0,0,0
23,10/23/20,10.16,0,0,0,-1.0125,2021,0,0,0
24,10/24/20,10.16,0,0,0,4.6375,2021,0,0,0
25,10/25/20,10.16,0,0,0,-9,2021,0,0,0
26,10/26/20,38.1,23.0886,152.4,0,-15.7063,2021,23.0886,27.94,0
27,10/27/20,45.72,28.2194,177.8,0,-9.5,2021,5.1308,7.62,0
28,10/28/20,48.26,30.7848,203.2,0,-4.0187,2021,2.5654,2.54,0
29,10/29/20,48.26,30.7848,177.8,0,-0.8563,2021,0,0,0
30,10/30/20,48.26,30.7848,152.4,0,0.9438,2021,0,0,0
31,10/31/20,48.26,30.7848,177.8,0,1.1688,2021,0,0,0
32,11/1/20,48.26,30.7848,152.4,0,3.4875,2021,0,0,0
33,11/2/20,48.26,30.7848,152.4,0.3,5.2,2021,0,0,0
34,11/3/20,48.26,30.7848,127,4.2,5.6688,2021,0,0,0
35,11/4/20,48.26,30.7848,127,3.1,4.8062,2021,0,0,0
36,11/5/20,48.26,30.7848,101.6,3.1,5.75,2021,0,0,0
37,11/6/20,48.26,30.7848,101.6,4.2,5.2188,2021,0,0,0
38,11/7/20,50.8,28.2194,76.2,4.1,5.1125,2021,-2.5654,2.54,5.1054
39,11/8/20,58.42,35.9156,127,-4.7,-1.5562,2021,7.6962,7.62,0
40,11/9/20,63.5,41.0464,152.4,-8.2,-5.9,2021,5.1308,5.08,0
41,11/10/20,83.82,59.0042,482.6,-10.9,-7.85,2021,17.9578,20.32,0
42,11/11/20,83.82,59.0042,457.2,-10.2,-7.8,2021,0,0,0
43,11/12/20,88.9,64.135,508,-10.6,-8.6438,2021,5.1308,5.08,0
44,11/13/20,88.9,64.135,431.8,-5.4,-2.3312,2021,0,0,0
45,11/14/20,96.52,74.3966,431.8,-10.5,-9.175,2021,10.2616,7.62,0
46,11/15/20,104.14,82.0928,508,-5.4,-3.075,2021,7.6962,7.62,0
47,11/16/20,111.76,89.789,406.4,-0.2,1.6313,2021,7.6962,7.62,0
48,11/17/20,111.76,89.789,406.4,1.3,4.1875,2021,0,0,0
49,11/18/20,114.3,92.3544,406.4,4.2,6.4875,2021,2.5654,2.54,0
50,11/19/20,114.3,92.3544,355.6,1.7,2.325,2021,0,0,0
51,11/20/20,114.3,92.3544,355.6,-0.9,0.375,2021,0,0,0
52,11/21/20,114.3,92.3544,355.6,-3.2,-2.6687,2021,0,0,0
53,11/22/20,114.3,92.3544,355.6,-3.2,-2.5375,2021,0,0,0
54,11/23/20,114.3,92.3544,355.6,-1,1.5313,2021,0,0,0
55,11/24/20,114.3,92.3544,355.6,-6.9,-7.4437,2021,0,0,0
56,11/25/20,132.08,110.3122,533.4,-8.3,-5.0375,2021,17.9578,17.78,0
57,11/26/20,132.08,110.3122,508,-8.9,-7.425,2021,0,0,0
58,11/27/20,132.08,110.3122,508,-10.6,-8.025,2021,0,0,0
59,11/28/20,132.08,110.3122,508,-7.3,-5.9125,2021,0,0,0
60,11/29/20,132.08,110.3122,508,-10.4,-8.025,2021,0,0,0
61,11/30/20,132.08,110.3122,508,-8.6,-6.2375,2021,0,0,0
62,12/1/20,132.08,110.3122,508,-10.5,-8.9687,2021,0,0,0
63,12/2/20,139.7,118.0084,584.2,-16.1,-12.9187,2021,7.6962,7.62,0
64,12/3/20,139.7,118.0084,533.4,-11,-9.5812,2021,0,0,0
65,12/4/20,139.7,118.0084,533.4,-4.5,-4.2625,2021,0,0,0
